"text","likes","comments","shares"
"Uncertainty hangs over Haiti as it waits for a new gov't following the resignation of PM Ariel Henry amid chaotic gang violence. — in pictures aje.io/cpt3xh","251","35","18"
"🔴 Fearing economic fallout in Egypt from the Gaza war, the EU is putting together a 7.4 billion euro ($8.08bn) aid package for Cairo, according to a Financial Times report. LIVE updates: http://aje.io/o0lnu8","353","222","23"
"'Contrasting verdicts in two politically charged federal court cases raise questions about the US judiciary’s objectivity on matters relating to Israel-Palestine.' — #AJOpinion by Faisal Kutty ⤵️","255","77","35"
"A US woman living in Gaza was pulled from the rubble of an Israeli air strike after a two-hour operation to free her. After she was freed, she had a message of solidarity with Palestinians facing Israel’s war.","2546","422","564"
"At least one person has been killed and 22 injured after a suspected gas explosion at a restaurant in northern China.","177","10","8"
"Social media users and Human Rights Watch have accused Meta of restricting pro-Palestine voices on Instagram and Facebook.

Does Meta actually censor pro-Palestinian content online?

Watch ‘Closed Cyberspace’ for more: https://aje.me/closedcyberspace","342","119","108"
"Once hailed as one of India’s brightest prospects, Sarfaraz Khan spent a decade waiting for a chance to play international cricket ⤵️","269","22","5"
"Dashcam video captured the moment a huge explosion at a restaurant in China caused flying debris to hit people passing in the street. At least one person was killed in the blast, which was caused by a suspected gas leak.","440","33","39"
"India’s Modi gov't rushes to regulate AI ahead of national elections. Critics say this could stifle innovation and free speech.","152","54","6"
"🔴 Exchanges of fire across the Israel-Lebanon border have escalated, with Israeli forces striking deep into Lebanese territory for a second consecutive day as the Hezbollah armed group kept up its rocket launches. LIVE updates: http://aje.io/o0lnu8","727","657","43"
"Remembering the beauty of Ramadan in Gaza — #AJOpinion by Eman Alhaj Ali ⤵️
🔗: aje.io/pmkqzt","1538","500","170"
"Casualties mounting, with at least four Palestinians – including two minors – killed and dozens wounded.","329","160","64"
"Watch the moment a rocket exploded shortly after takeoff as Japanese firm Space One attempted to become the country’s first private company to put a satellite in orbit.","651","63","66"
"An aid ship carrying food and other essential items is nearing Gaza after days of delays amid dire humanitarian situation.","261","74","24"
"The song contest prides itself on being nonpolitical, but Israel’s inclusion threatens to overshadow the music this year.","117","68","16"
"🔴 EU foreign policy chief Josep Borrell has said Gaza’s humanitarian crisis is 'not a natural disaster' and has accused Israel of using starvation as a 'weapon of war'. LIVE updates: aje.io/o0lnu8","571","209","79"
"As all major parties deploy AI-based manipulation in campaigns, the Indian government has asked all tech firms to seek its approval before publicly launching new tools. Critics say this could stifle innovation and free speech.","214","50","12"
"The blast took place near Beijing and is the latest in a string of incidents often blamed on lax safety standards.","178","7","5"
"Tate and his brother Tristan were detained on Monday night on allegations of sexual aggression dating back to 2012-2015.","198","86","7"
"Tokyo-based startup Space One was aiming to become the first private Japanese firm to put a satellite into orbit.","344","58","14"
"🔴  Canada’s Foreign Affairs Minister Melanie Joly announced $1 million in support for investigations into allegations of sexual and gender-based violence against Palestinian women. LIVE updates: aje.io/o0lnu8","737","167","97"
"Wanted Western fugitives seek refuge in wartime Russia as Moscow's extradition cooperation with Western nations declines since the Ukraine war.","184","16","8"
"Former strategist to Russian opposition leader was admitted to hospital after the assault on Tuesday night.","233","42","11"
"🔴 “Boeing sold 1,000 smart bombs to Israel during the genocide”. Dozens of activists have rallied outside the Aerospace and Defense Summit in Seattle, Washington, to protest Boeing’s military contracts with Israel. LIVE updates: http://aje.io/o0lnu8","450","125","83"
"Swiss federal prosecutors have referred Rifaat al-Assad, Syria’s former Vice President for trial on charges of war crimes and crimes against humanity allegedly committed more than four decades ago.","196","51","5"
"Eight US senators have sent a letter to Biden calling on him to offer Israel an ultimatum: Expand aid to Gaza or risk losing US military assistance aje.io/zj076p","1420","422","120"
"🔴 Israel’s far-right National Security Minister Itamar Ben-Gvir has expressed support for Israeli soldiers amid outrage over the killing of 13-year-old Palestinian Rami El Halhuli near the Shuafat refugee camp checkpoint. LIVE updates: http://aje.io/o0lnu8","467","183","36"
"🔴 WFP convoy carrying food for 25,000 people used an Israeli military road alongside the Gaza border fence to reach the enclave’s north, according to officials.LIVE updates: http://aje.io/o0lnu8","306","46","16"
"As the war enters its 749th day, these are the main developments.","179","54","10"
"🔴 DEVELOPING: Israeli forces have stormed the occupied West Bank city of Jenin and its refugee camp, destroying infrastructure and clashing with Palestinian fighters, reports the Wafa news agency.LIVE updates: aje.io/o0lnu8","460","114","53"
"🔴 PM Netanyahu has said Israel “will finish the job in Rafah”, reaffirming a ground operation will go ahead in the southern Gaza city. Follow our LIVE coverage: http://aje.io/o0lnu8","487","296","63"
"🔴 Israeli forces shot and killed at least two Palestinians and injured three others at a checkpoint in the town of al-Jib, west of Jerusalem, according to reports from the Palestine Red Crescent. LIVE updates: aje.io/pbgd87","766","195","112"
"","302","137","30"
"On October 19, Mohammad Saaida's 14-year-old son, Mujahed, was hit by an Israeli airstrike while playing football with friends in Nur Shams refugee camp in the occupied West Bank city of Tulkarem http://aje.io/b6ug1t","375","48","61"
"The letter is the latest attempt from lawmakers to up the pressure on Biden and push for more accountability from Israel on Gaza.","296","107","43"
"The US says it is seeking a ‘ceasefire’ for a limited time, but Palestinian rights advocates want a lasting end to the war.","244","118","30"
"Ukraine launched a severe attack into Russia, destroying critical energy infrastructure. Russia claims it's taking necessary measures to counter further attacks, including invading anti-Kremlin troops aiming to disrupt the upcoming presidential election.","749","254","92"
"🔴 DEVELOPING: Israeli forces have launched a raid east of the Jabalia camp in northern Gaza and are also targeting residential homes east of Khan Younis. LIVE updates: aje.io/pbgd87","495","223","53"
"🔴 At least nine Palestinians were killed and dozens wounded by Israeli gunfire as crowds awaited aid trucks on Kuwait Square in northern Gaza City, reports health officials.LIVE updates: http://aje.io/pbgd87","364","110","98"
"Special Counsel Robert Hur has defended his assessment of President Joe Biden’s “poor memory”, as he gave testimony before members of the US Congress on Tuesday aje.io/sn51uc","221","72","21"
"🔴 Rami Hamdan al-Halhuli was playing with fireworks when an Israeli sniper shot him in the chest and killed him. Despite not being nearby Shu’fat refugee camp, Israeli authorities claimed he posed a threat. Al Jazeera's Hamdah Salhut reports from occupied East Jerusalem⤵️ LIVE updates: http://aje.io/pbgd87","751","271","133"
"The ruling party has selected the president to seek a third successive term in July 28 elections.","109","5","2"
"Children in Gaza have suffered ‘relentless mental harm’ during five months of war, says Save the Children.","237","175","34"
"Israel’s attacks in the occupied West Bank have killed both fighters and civilians, and left only destruction behind.","351","104","35"
"🔴 Rami Hamdan al-Halhuli, a 13-year-old Palestinian boy, was shot and killed by Israeli security forces with live ammunition in Shu’fat refugee camp, occupied East Jerusalem. LIVE updates: aje.io/pbgd87","617","177","131"
"Moscow’s cooperation on extraditions with its westward neighbours has practically ceased since the Ukraine war began.","138","21","7"
"Ten children are among those injured in the missile attack on apartment buildings as rescue teams search for survivors.","213","104","20"
"Hur testifies in a congressional committee hearing about Biden’s reported memory lapses, spurring bipartisan criticism.","134","46","5"
"🔴 Since October 7, UNICEF reports reveal that at least 17,000 Palestinian children in Gaza have been separated from their families, with over 12,000 killed in Israeli attacks, and many others facing amputations and life-changing injuries. LIVE updates: http://aje.io/pbgd87","332","151","151"
"Delivery will barely make a dent in Gaza’s starvation crisis, as Israel steps up attacks on aid seekers in the enclave.","168","39","20"
"Ukraine’s military intelligence says anti-Putin Russian volunteer militias are not acting under orders from Kyiv.","395","100","19"
"Experts say Haitians need to lead political process after PM Henry’s resignation, as uncertainty and tensions swirl.","115","18","11"
"MV Abdullah was sailing from Mozambique’s capital Maputo to the United Arab Emirates when it was attacked.","327","57","16"
"Georgia primary today shines a light on Draconian measures to ensure Republican victories at the ballot box.","100","16","12"
"""It’s not a war, because only one side has an actual army. Only one side is a state with full military wares... these victims were mothers, wives and babies."" — writes Susan Abulhawa for #AJOpinion ⤵️","362","209","58"
"Israel’s PM Netanyahu may be trying to extend his state’s conflicts to maintain his hold on power, analysts argue.","342","242","40"
"""The scenes have been terrible, with police arresting and attacking people."" In a Berlin neighbourhood beloved by diaspora communities, tensions rise after alleged police crackdowns on Palestine solidarity rallies aje.io/nplylm","410","283","41"
"🔴 ""The humanitarian situation in Gaza is heartbreaking."" In his Ramadan message, US Secretary of State Antony Blinken calls for an “immediate and sustained ceasefire for at least six weeks” in the besieged Gaza Strip. LIVE updates: aje.io/wnb03k","1492","1075","110"
"Ukraine continues to target Russia’s oil and gas infrastructure after overnight attacks, with no casualties reported, according to regional officials ⤵️","453","142","11"
"Sudan’s army has taken control of the country’s national radio and television headquarters from the Rapid Support Forces, the army said in a statement.","286","42","24"
"13 years after the start of the Syrian war, many of the thousands of Syrians who were displaced still keep the keys to the homes they were forced out of - just as Palestinian refugees do ⤵️","529","70","64"
"The biggest donor to UK’s Conservative Party, Frank Hester, has come under fire after he reportedly said looking at the country’s longest serving Black lawmaker, Diane Abbott, made him “want to hate all Black women.” aje.io/1755yh","270","135","38"
"🔴 Hebrew University of Jerusalem has suspended prominent Palestinian Professor Nadera Shalhoub-Kevorkian for denouncing Israel’s genocide in the besieged Gaza Strip. LIVE updates: aje.io/wnb03k","607","306","65"
"🟠 A plan to send about 1,000 troops from Kenya to bolster beleaguered security forces is now on hold after the resignation of Prime Minister Ariel Henry’s resignation, a news report says. LIVE updates: aje.io/f74pvf","270","75","12"
"🔴 In a letter to President Biden, Bernie Sanders and seven Democrat senators say that by continuing to arm Israel, Biden is violating the Foreign Assistance Act, which bars military support to any nation that restricts aid delivery. LIVE updates: aje.io/wnb03k","3257","513","370"
"US spy chiefs say threats from China and Russia threaten American primacy and how Israel's war on Gaza could spread insecurity aje.io/fwhc17","625","325","63"
"Haiti’s PM Ariel Henry has announced he is stepping down, after gangs threatened a civil war if he returned to the country. Here’s a quick explainer on the crisis in Haiti ⤵️","345","39","66"
"🟠 ""It is clear that Haiti is now at a tipping point."" Jamaican PM Andrew Holness, who hosted the crisis talks that secured Ariel Henry’s resignation, has warned that Haiti risked all-out civil war. LIVE updates: aje.io/f74pvf","165","26","10"
"🔴 Seven of 10 Irish artists scheduled to play at the South by Southwest (SXSW) Music Festival have pulled out to support Palestine and to protest the US festival’s links with US military and defence companies. LIVE updates: aje.io/wnb03k","1567","427","113"
"Thailand’s election commission has taken action aimed at disbanding the Move Forward Party (MFP), a reformist party that finished first in last year’s election on a progressive platform.","128","8","11"
"Swiss federal prosecutors have referred Syria’s ex-Vice President Rifaat al-Assad for trial on charges of war crimes and crimes against humanity allegedly committed more than four decades ago.","241","92","11"
"“President Biden has turned the Gaza genocide into a photo op for himself.” Norman Finkelstein, US political scientist, says President Biden is hiding behind humanitarian aid efforts and diverting attention from the fact that Israel is obstructing the entry of aid by land ⤵️","649","98","229"
"""We must... support their path towards our union in any possible way."" Brussels is pushing to accelerate EU expansion in the Western Balkans as it eyes growing Russian and Chinese influence ⤵️","207","71","12"
"🔴 “We are the backbone of the humanitarian response.” UNRWA, the UN agency for Palestinian refugees, has said there is no other agency that is able to respond to the humanitarian needs in Gaza at it’s scale. LIVE updates: aje.io/wnb03k","329","106","29"
"The Citizenship Amendment Act, which comes into force on the eve of elections, creates India’s first religion-based citizenship test, discriminating against Muslims and some other refugees aje.io/s38luc","277","115","40"
"From the destruction of cultural centres like Gaza’s century-old Archive Building to the targeted killings of artists, Israel is wiping out facets of Palestinian heritage.","340","62","98"
"🟠 Rosa Freedman, professor of law, conflict, and global development at the University of Reading in the UK, says the formation of a transitional council is unlikely to stop gang violence in Haiti. LIVE updates: aje.io/f74pvf","216","27","10"
"A charity ship carrying food and supplies for Gaza has set sail from Cyprus under a plan to open a new sea route for aid for starving Palestinians in the besieged enclave.","871","101","86"
"🔴 ""[Denmark] risks becoming complicit in violations of international humanitarian law... and a plausible genocide.” Several NGOs in Denmark say they are suing the country’s police and foreign ministry to stop arms exports to Israel. LIVE updates: aje.io/wnb03k","1142","288","85"
"The navies of China, Iran and Russia have begun joint drills in the Gulf of Oman, their fifth common military exercise in recent years.","1146","391","58"
"India has begun withdrawing military personnel operating surveillance aircraft in the Maldives after the new pro-China president ordered them to leave, according to reports.","427","110","22"
"Video shows Palestinian children collecting spilled food from the ground after aid drops in north Gaza.","16411","887","2521"
"“We don’t feel the joy of Ramadan … Look at the people staying in tents in the cold.” Palestinians in Gaza mark a joyless iftar on the first day of Ramadan as Israel attacks grind on — in pictures aje.io/xkfygt","958","198","133"
"🔴 Israeli occupation forces have stormed the Jenin refugee camp in the occupied West Bank, reports Wafa news agency. LIVE updates: aje.io/vrbitl","392","192","72"
"Haitian PM Ariel Henry released a video confirming he will step down after the creation of a transitional council, under a plan agreed with regional leaders. Henry was speaking from Puerto Rico after gangs prevented his return to Haiti from a visit to Kenya.","149","17","25"
"🟠 Haiti’s PM Ariel Henry has tendered his resignation following an emergency meeting of regional nations and appealed for calm as the country descends into chaos. Follow our LIVE coverage: aje.io/f74pvf","223","26","24"
"Luca Nardi stuns his boyhood tennis idol and top seed Novak Djokovic with a 6-4, 3-6, 6-3 win in the third round of the BNP Paribas Open at Indian Wells, California https://aje.io/y80ks3","185","9","8"
"Crowds of Palestinian worshippers were allowed in to pray at Al-Aqsa Mosque in occupied East Jerusalem, after the first day of Ramadan fasting. On the previous night Israeli forces beat back groups of people trying to access the site.","2257","203","188"
"India’s wicketkeeper-batter Rishabh Pant is fit to play in the Indian Premier League (IPL) starting this month after being seriously hurt in a car crash in 2022 ⤵️","177","13","3"
"Airbnb has banned the use of indoor security cameras at its properties worldwide amid privacy concerns aje.io/lti50b","152","6","5"
"🔴 Charity ship Open Arms has set sail from the port of Larnaca in Cyprus, headed for Gaza carrying almost 200 tonnes of food, including rice, flour, legumes and proteins. LIVE updates: http://aje.io/vrbitl","2394","692","157"
"Actor and comedian Ramy Youssef acknowledged the artists at this year’s Oscars who wore a red lapel pin, symbolising a call for an immediate and permanent ceasefire in Gaza.","428","65","69"
"Protests have erupted in parts of India over the Narendra Modi government’s implementation of a controversial citizenship law ahead of national elections.","385","215","29"
"🔴 Philippe Lazzarini, UNRWA commissioner-general, says Israeli forces prohibited the entry of critical medical aid, including life-saving supplies, into the Gaza Strip. LIVE updates: http://aje.io/vrbitl","495","234","88"
"Protests break out in parts of the country. Police presence beefed up. Critics of the law call its timing cynical.","263","129","12"
"See the moment the resignation of Haiti’s PM Ariel Henry was announced at an emergency meeting of Caribbean leaders, after gang leaders prevented Henry from returning after an overseas trip.","259","33","43"
"🔴 DEVELOPING: A barrage of about 70 rockets were fired from Lebanon at territories under Israeli control this morning, according to the army quoted by the national media. LIVE updates: http://aje.io/vrbitl","830","463","40"
"","409","154","15"
"Announcement comes amid emergency CARICOM summit on the crisis in Haiti.","239","35","16"
"Baek Won-soon was detained in Vladivostok earlier this year – the latest foreign national to be imprisoned in Russia.","255","44","16"
"#AJNewsUpdates: In occupied East Jerusalem, Israeli forces have blocked the entrance to the Al-Aqsa Mosque compound ⤵️

For more, subscribe and listen on all podcast platforms 🎧","248","63","58"
"🔴 US Director of National Intelligence Avril Haines says the October 7 attacks and Israel's war on Gaza may have a 'generational impact on terrorism'. LIVE updates: http://aje.io/vrbitl","526","464","24"
"John Barnett, a former Boeing employee who blew the whistle on alleged safety problems at the aircraft manufacturing giant, has been found dead at 62 years old.","318","80","93"
"🔴 Israeli forces reportedly killed seven Palestinians and injured 20 after attacking them while they were waiting for aid trucks at the Kuwait roundabout south of Gaza City, according to the Wafa news agency. LIVE updates: aje.io/vrbitl","766","191","191"
"The Princess of Wales is apologising for the confusion caused by a photo shared via the British royal family’s social media, which was recalled by several major news agencies for not meeting their editorial guidelines.","196","34","26"
"Russia finds Pope Francis's call for talks to end the war in Ukraine ""quite understandable,"" while NATO's secretary general suggests it's not the time to discuss ""surrender."" aje.io/kdmd4g","487","272","35"
"As the war enters its 748th day, these are the main developments.","124","26","13"
"🔗: Can Michigan save Palestine? — #AJOpinion by Ahsan I Butt aje.io/2nkgy1","414","189","41"
"🔴 Palestinians gather to share iftar meals amidst the rubble, facing severe restrictions and Israeli control over food supplies. LIVE updates: aje.io/vrbitl","1431","223","185"
"🔴 The IDF claims that its fighter jets bombed an underground compound housing senior Hamas leaders in the Nuseirat area of central Gaza early on Sunday morning. LIVE updates:aje.io/vrbitl","582","307","32"
"China is turning to ‘future technologies’ to boost is economy as it tries to turn the page on developers’ struggles.","152","17","7"
"Sweden's flag is raised at NATO headquarters in Brussels after officially becoming the alliance's newest member last Thursday, ending decades of neutrality due to security concerns following Russia’s invasion of Ukraine.","442","160","45"
"🔴 DEVELOPING: Israeli forces have reportedly shot and killed two Palestinian men in the north of Tulkarem in the occupied West Bank, according to the Wafa news agency. LIVE updates: http://aje.io/vrbitl","394","123","34"
"🔴 Two Palestinian children died from severe malnutrition and dehydration at Kamal Adwan Hospital in northern Gaza, bringing the reported malnutrition-related deaths to 27 as Israel continues to restrict aid. Follow our LIVE coverage: aje.io/vrbitl","388","58","92"
"🔴 After Russia claimed that the UN report on the sexual violence of October 7th is being politicized, the US Ambassador to the UN, Linda Thomas-Greenfield, tells the UNSC that there is no room for doubt. LIVE updates: http://aje.io/6jiydj","247","183","22"
"The residents of Leh and Kargil in India's Ladakh are coming together to demand greater political power and autonomy, as they are concerned about the potential loss of their tribal identity ","163","23","12"
"🔴 Russia condemns the October 7 attacks but raises concerns at the UNSC about UN special rapporteur Pramila Patten releasing her report after visiting Israel and the occupied West Bank under Israeli approval, without visiting Gaza. LIVE updates: http://aje.io/6jiydj","240","90","31"
"The White House refused to deny reports that the Biden administration has been secretly funnelling weapons for Israel’s war on Gaza using a legal loophole. It’s just one of the ways the US is funding and arming the war.","759","323","282"
"As Ramadan starts, Gaza is overshadowed by Israel’s campaign of hunger that has severely restricted food to millions in the besieged enclave.","256","62","49"
"🔴 Israeli authorities will restrict Palestinians in the occupied West Bank from entering the Al-Aqsa Mosque, permitting only men over 55, women over 50, and children under 10 to enter the compound during Ramadan. LIVE updates: http://aje.io/6jiydj","485","135","67"
"Court rejects the state-run bank’s plea to publish details of previously anonymous political donations by June, citing the upcoming national polls.","104","7","7"
"Muslim groups in Canada say MPs won’t be allowed to speak to congregants this Ramadan unless they act to end the war on Gaza http://aje.io/ye9r4r","459","82","43"
"It’s a major shift for a France where active life-termination measures are currently banned.","141","20","16"
"PM Viktor Orban tells Hungarian state broadcaster that Trump has a ‘clear vision’ after meeting former US president in Florida.","358","112","27"
"Hundreds of thousands of lives and more than $1 trillion in losses are threatened unless urgent action is taken.","123","39","12"
"Mstyslav Chernov’s 20 Days in Mariupol won best documentary for journalist’s first-person account of Russian invasion.","163","41","11"
