"text","likes","comments","shares"
"Cameroon's football federation is clamping down on age cheating and identity fraud.","275","36","39"
"Leonid Volkov faces many politically motivated charges in Russia.","282","86","32"
"Both climate change and fast-spreading diseases are threatening banana supplies, industry experts have warned.","299","158","36"
"Gang leaders Jimmy 'Barbecue' Chérizier and Johnson André are among those vying for control of the country.","162","112","17"
"Kensington Palace's position remains that further details of what the ""experiment"" in photo-editing might have altered will not be released.","1283","2832","70"
"""I think that was a very difficult time for us as a nation.""","214","121","15"
"The Japanese city's environmental team warned the public to avoid touching ""a cat that seems abnormal"".","668","158","60"
"The Prince of Wales joined mourners at the private funeral of Lady Gabriella Kingston's husband.","876","313","21"
"Cambridge has faced significant criticism for admitting almost half of its students from London and the south east of England.","183","67","24"
"""It didn't seem like it was chucked in there, instead it has been accurately put in the ground.""","573","356","80"
"David Cameron called for ""answers"" from the Israeli government over how Palestinian medical staff were treated.","512","1","106"
"""I have never seen anything like that before.""","955","199","98"
"""If love could have saved her she would have lived forever and a day.""","1164","158","77"
"Connie, Sophie and Coco are three generations of guide dog.","1125","96","72"
"The veteran actor said it was ""a choice by the producers"".","352","105","22"
"There is concern Charlie, who is ""heartbroken"" after losing his mate in an accident, is in danger of being hit by a car.","1091","123","48"
"""One of the finest musicians I've ever known.""","698","136","98"
"Ashley Jensen and Alison O’Donnell will reprise their roles as Detectives Ruth Calder and Alison ‘Tosh’ McIntosh.","2344","303","90"
"""A capable young man with his whole life ahead of him.""","432","68","20"
"""His music touched so many.""","947","104","168"
"Andrew Tate and his brother Tristan have been detained in Romania, his representative has said.","433","346","31"
"The Israel Defense Forces have denied medical staff were harmed during its operation.","685","0","107"
"This years costume design won't be forgotten, thanks to the presentation by John Cena.","447","210","32"
"Ariel Henry is currently stranded in Puerto Rico after being prevented by armed gangs from returning home.","228","61","47"
"""I can't imagine what it would have been like having to go home at night.""","571","207","42"
"Sanjay Shah is one of nine British and US nationals accused of defrauding Denmark.","295","39","38"
"The Games is currently without a host.","331","196","30"
"""If bird flu were to take a hold across the island, it would be of conservation concern globally.""","637","51","58"
"The former US president has pledged to end the war in Ukraine ""within 24 hours"" if elected - but has provided no further details.","671","716","73"
"A council has issued hundreds of penalties to people relieving themselves at the side of just one road.","244","173","26"
"Police are still searching for a sixth person, after the group set off on a ski tour on Saturday.","800","59","63"
"""I did think for a split second: 'This is it'.""","213","59","24"
"John Barnett had been testifying against Boeing in the days before his death.","472","186","218"
"The first official image of the princess since her surgery was meant to mark Mother's Day and calm speculation over her health.","314","513","26"
"The Texas festival lists the US Army as one of its sponsors, which some artists have objected to.","305","147","11"
"The Princess of Wales has apologised ""for confusion"" after agencies recalled the image over editing concerns.","587","1596","54"
"""People were saying it was miraculous. I only realised how significant it was after I had the chance to process it all.""","609","143","26"
"The Princess of Wales was seen leaving Windsor with William on Monday afternoon.","311","434","22"
"""There are no doctors, they all fled last week.""","314","138","36"
"Hayao Miyazaki's The Boy and the Heron has won the Oscar for best animation. 
 
This is Miyazaki's second Academy Award after winning his first Oscar in 2003 for the film Spirited Away. 
 
Read more: https://bbc.in/48Nyrk2","8708","203","350"
"A charity leading the mission told the BBC it is ""a quickly evolving and fluid situation"", but hopes the ship will set sail soon.","271","366","28"
"The two men - who have both been temporarily suspended - fell asleep during a flight to the capital Jakarta.","357","70","46"
"""Our flag is a yellow and blue one. This is the flag by which we live, die, and prevail. We shall never raise any other flags.""","752","526","43"
"The former UK prime minister flew to Venezuela last month for a private meeting with the country's President Nicolás Maduro.","351","258","45"
"Catherine has apologised for any confusion over her Mother's Day family photo saying she ""occasionally experiments with editing"".","977","1122","79"
"King Charles gave the same honour to his wife Queen Camilla last year.","479","154","26"
"Pest control was called in to carry out checks before they could re-open, McDonald's said.","415","184","49"
"""At closer inspection it appears that the source has manipulated the image. No replacement photo will be sent,"" the Associated Press said.","413","498","66"
"""I'm just Ken and I'm enough.""","905","94","74"
"Oppenhemier was the big winner of the 96th Oscars. Read more: https://bbc.in/3Tuo9Ra","4981","615","280"
"Poor Things star Emma Stone has become the eighth actress to win two Oscars by the age of 35. Read more: https://bbc.in/4cazP2N","5545","454","177"
"Cillian Murphy has won his first Oscar, after his first nomination, for the lead role in Oppenheimer. Read more: https://bbc.in/4cnmB39","31451","983","1009"
"Robert Downey Jr has won his first Oscar for his role for Oppenheimer.
Read more: https://bbc.in/4a4ZV5I","22042","687","578"
"The biggest awards night in film is under way in Hollywood.","307","95","26"
"First-time Oscar nominee Da’Vine Joy Randolph has won best supporting actress for her role in The Holdovers.
Read more: https://bbc.in/3ViZG2u","2891","387","64"
"""His performance is one for the ages.""","792","33","89"
"See all the best looks from this year's red carpet.","430","103","36"
"""People are being misled into spending money.""","278","184","44"
"Could Emma Stone be about to join an exclusive club?","267","129","26"
"A 46-year-old man and 23-year-old woman have been arrested, police in Hull said.","1569","0","285"
"""Inquiries are ongoing to establish the circumstances,"" London police said.","475","0","62"
"""He felt he could turn something that was a very difficult experience into a positive.""","662","120","55"
"One of the biggest nights in Hollywood is finally here - the Oscars.","396","292","39"
"The UN has warned that famine in the Gaza Strip is ""almost inevitable"" and children are starving to death.","725","1159","96"
"""I never realised that my own family had a DNA secret."" (Via BBC Ideas)","399","76","49"
"The image, taken by Prince William, shows Kate, the Princess of Wales, with their children.","3292","468","132"
"""The couple actually thanked me.""","306","76","31"
"""There was a connection made, almost from the moment I got to Scotland,"" Eugene Levy said.","505","69","29"
"""There must be thousands of fossil forests preserved here."" (Via BBC Travel)","581","44","88"
"Certain personality traits can lead people to take more risks on the road. (Via BBC Future)","347","147","67"
"Can we learn anything from the people who are unusually immune to the virus? (Via BBC Future)","228","119","56"
"""I was just in disbelief.""","266","143","34"
"""I could see it said 'help' on it... and then realised it was from children.""","729","81","51"
"""My son couldn't be here today... my second son, Jim, is here, from American Pie.""","1903","146","56"
"The organisers describe their awards as the ""ugly cousin to the Oscars"".","631","167","40"
"""We firmly believe we have been over exposed to radiation during the Trinity bomb.""","380","97","56"
"""We have forgotten our humanity,"" the Duchess of Sussex said.","1009","895","81"
"A father was attacked when he returned home and found his wife and four young children dead.","676","80","45"
"""It was drying out fast - we had to save whatever we could.""","1384","0","138"
"Could there be a Barbie 2?","428","248","42"
"""My former colleague getting fired had nothing to do with me trying to get my friend hired.""","261","96","32"
"""There were words used to describe me that certainly hurt me and were unexpected.""","641","434","23"
"Police said the suspects hijacked a catamaran owned by the couple while they were aboard.","390","67","33"
"Whoever left them was ""pure cruel"", a volunteer said.","829","241","47"
"The Belgian brewer was left unable to make beer at four of its sites after the suspected ransomware attack.","228","33","31"
"""Nothing was going to stop me from getting to the match.""","234","35","25"
"""My whole body was locked up trying to push down on the brake.""","200","87","24"
"After meeting on a train, the couple decided to get married while travelling at 125mph.","482","119","39"
"The gunman's mother has already been convicted over her son's fatal shooting in 2021.","409","151","33"
"The remote island of Taransay was used to film the hit reality show in 2000.","357","45","32"
"A Pentagon report said they found ""no evidence"" the government had interactions with aliens.","314","192","41"
"He was arrested on suspicion of theft, burglary and dangerous driving.","1461","1","243"
"There are ""significant concerns"" about the clinic, regulators said.","203","39","24"
"Oliver Bearman is set to make his Formula 1 debut for Ferrari this weekend.","1527","187","100"
"""This little girl came along and changes everything for me,"" Luton Town defender Tom Lockyer said.","1015","132","28"
"BP has been accused of giving its chief executive ""a multi-million, fat cat pat on the back"", while most people ""live paycheck to paycheck"".","1256","649","140"
"The former Bond star responded to rumours Murphy could be the next 007 at the Oscar Wilde Awards in LA.","1134","360","48"
"Scientists argue warmer seas and greater reliance on technology are contributing to the rise in deaths.","350","87","46"
"A 17-year-old was sentenced to life imprisonment as part of the same case. Both have denied wrongdoing.","348","318","49"
"Thirty years ago The British Book Awards named King Charles author of the year, now his son's book is shortlisted.","898","447","51"
"At least one car appeared to have been damaged after debris landed in a staff car park at San Francisco airport.","732","258","78"
"It was first celebrated more than one hundred years ago, in 1911.","494","469","120"
"""It clearly wasn't a dog - I thought it was a leopard or something else.""","351","43","22"
"The report also called for apologies from the UK government and Irish republican leadership on behalf of the IRA.","232","152","27"
"It is the fifth time in eight years widespread damage has been detected at the world's biggest coral system","487","108","49"
"""We believe the European Commission erred in its calculation.""","172","52","14"
"The 12-year-old was inside an office room when a leopard walked past him.","610","60","43"
"""Paternity leave is really good for gender equality, it's really good for the economy and it's really good for the whole family.""","326","185","30"
"Lawmakers said TikTok's owner has links with the Chinese Communist Party - something ByteDance and TikTok deny.","221","77","24"
"In a statement, May said she had taken the ""difficult decision"" to vacate her Maidenhead seat after 27 years.","393","202","40"
"""As far as I'm concerned, as far as Red Bull is concerned, we move on"", Horner said.","283","212","41"
"Only around 20 of the critically endangered frogs are left in the wild.","798","70","105"
"Dragon Ball is one of the most influential and best-selling Japanese comics of all time.","1303","122","392"
"They still feel chained to flight MH370 that vanished 10 years ago, with their loved ones on board.","580","85","64"
"The former US President sued the company over claims of ""perverted"" sex acts and bribes to Russian officials.","729","238","83"
"""Not even an ant can make it across the border now.""","222","98","43"
"This is the sixth time the 92-year-old media tycoon has been engaged.","1263","745","95"
"A student on a TV quiz show sparked criticism for her team's toy octopus mascot.","277","169","25"
"""Better not stand on my golf ball.""","473","71","47"
"The fight will be broadcast live on streaming platform Netflix.","750","425","76"
"""One of those rare people who light up the lives of everyone around them.""","1003","317","52"
"The woman accused the Formula One team boss of inappropriate and controlling behaviour, which he denied.","588","507","34"
"""This was a pretty weird forest, not like any forest you would see today"".","522","49","66"
"""I was so angry, I was absolutely disgusted, it's just so rude.""","139","75","13"
"""Oompa Loompa doompity-dong, most of these films were frankly too long.""","758","392","34"
"US President Joe Biden is expected to announce the plans later today.","716","577","67"
"Researchers found bumblebees can work together and pass on knowledge to overcome puzzles.","465","43","96"
"Sweden has become the military alliance's second new member since Russia's full-scale invasion of Ukraine.","2952","777","173"
"The judge will examine how officers handled the investigation for her murder in 2005.","196","50","19"
"Sandler's deal with the streamer saw him appear in and produce three films last year.","624","184","38"
"""Having an AI version of you kind of keeps you safe.""","336","121","18"
"It sounds like science fiction - but this vision of the future is coming sooner than you might think.","370","64","64"
"Such incidents are rare in Bangladesh, where gun ownership is strictly regulated by the government.","313","109","40"
"""It's absolutely frightening. The records are just off [the] scale.""","1167","1298","152"
"The state's supreme court last month ruled that frozen embryos had the same rights as children.","241","74","19"
"The armourer loaded a gun for actor Alec Baldwin before it fired and killed a cinematographer.","313","191","34"
"The Republican said he would take part in a TV debate ""anytime, anywhere, anyplace.""","542","571","53"
"Is this British comedy's earliest animal joke?","288","55","38"
"It is thought to have been forgotten about over time.","389","26","50"
"From a 2p cut in National Insurance to abolishing the ""non-dom"" tax system – here’s what Jeremy Hunt announced in Wednesday's Budget.","193","222","22"
"""More gangsters, more heists and infinitely more dialogue.""","357","53","33"
"Glasgow City Council said park staff were ""distressed"" by the discovery.","374","58","23"
"Some fans expressed disappointment after the 23-year-old confirmed she was dating an actor.","786","395","56"
"There were a few surprises and some warning signs for Donald Trump.","182","185","20"
"""You can feed him and he'll still be wanting more food.""","347","173","90"
"""We could actually see the birds dying right in front of our eyes.""","408","69","24"
"""This is good for our pockets.""","1954","461","131"
"A primary school headteacher hopes it will encourage a change in behaviour.","259","174","25"
"The deaths of the crew members are the first fatalities since the group's attacks on shipping began.","429","352","50"
"Multiple missiles exploded in the border area between Israel and Lebanon.","327","346","37"
"Some blooms have emerged four weeks earlier than usual, a conservation charity said.","461","75","64"
"Nikki Haley said she is suspending her campaign but has ""no regrets"" and will keep using her voice.","442","297","38"
"The programme portrayed the city as a ""slum"", one viewer said.","243","141","18"
"Clare Jacobs caught the battle on camera and said it ""made my year"".","1391","76","143"
"Cillian Murphy is set to break a decade-long trend and Emma Stone could join an exclusive club. ✨","318","140","22"
"Donald Trump won 14 Republican contests on Super Tuesday, except for Vermont, where he lost to Haley.","447","374","26"
"""Indies have found their niche and they are here to stay.""","753","78","75"
"Shay Kang was discovered with injuries at an address in Rowley Regis, UK, police said.","400","0","21"
"The chancellor has hinted that he will cut taxes, but said it would be done in a ""responsible"" way.","172","209","11"
"Jasmine Boatswain said the negative attention made her feel ""really, really low"".","292","298","12"
"Millions of voters in the US chose their preferred party candidates for president.","167","114","24"
"The 78-year-old said police found nothing but wrecked her home in the process.","564","121","26"
"Archaeologists said they did not know how far the settlement reached, until now.","876","116","73"
"With Super Tuesday underway in the US, the BBC asked China's elite who they want to win this year's election.","187","155","20"
"The most famous waterway in the Americas is running dry.","205","31","41"
"""There is no indication that more vaccines are required.""","350","232","66"
"Children were among those killed, disaster management authorities said.","652","123","60"
"Space is one of the few areas where the US and Russia continue to 
co-operate closely despite the war in Ukraine.","286","93","59"
"The 2003 film starred both actors as a mother and daughter who switch bodies.","486","151","24"
"""She has changed our world in a way that we appreciate life.""","717","114","23"
"The claim caused confusion after Kensington Palace said it had not confirmed her appearance.","272","265","22"
"It will introduce a 21% rise in council tax over two years after effectively declaring bankruptcy last year.","248","271","34"
"The Sergei Kotov was allegedly hit on Tuesday morning.","727","356","39"
"Rupert Murdoch's network, which launched in 2022, has struggled to attract viewers.","1647","725","71"
"The shirt, which is now dry, could fetch as much as £10,000.","651","269","117"
"If you're reading this Facebook is once again working.","3731","903","685"
"All the customers had to be hospitalised.","395","62","41"
"The biggest day so far in the 2024 US election calendar will be a key test of the front-runners' strength.","225","288","40"
"The extraordinary moment has been watched millions of times.","1152","256","250"
"Greater Manchester Police called the incident ""unacceptable"".","561","578","40"
"The 26-year-old has faced complications with his visas, health scares, geopolitical issues and an armed robbery.","282","42","41"
"The 36-year-old cried as he began a statement lasting more than 40 minutes.","502","139","24"
"Hamas has denied its gunmen sexually assaulted women during the attacks.","342","689","47"
"A Strictly dancer, two X-Factor judges and a Love Island winner are among the celebs entering the house.","416","536","31"
"“It is not everybody’s choice to come and stay in a remote island community.""","1419","630","163"
"""Now the trigger has been reached, nature will once again have to endure exposure to this harmful chemical.""","325","59","44"
"""The stolen Ferrari was missing for more than 28 years before we managed to track it down in just four days.""","382","89","35"
"Interior Minister Ahmad Vahidi told a news conference that about 5% of the ballots cast were ""invalid"", or spoilt.","211","110","30"
"14 people were killed and dozens more injured when two trains collided in Andhra Pradesh state.","346","56","73"
"Many claim a scoop of their magic powder, mixed with water, is all you need to improve your health.","221","95","39"
"Wiithin minutes of him purchasing Twitter, Musk moved to fire key leaders.","416","95","38"
"The line of mourners was estimated to be more than 500m long.","1036","172","82"
"A photographer said it was an ""icing-on-the-cake moment"".","961","49","79"
"There's no evidence directly linking these images to Trump's campaign.","669","531","128"
"""A lot of photographers and videographers say they now flat out refuse to go anywhere near church weddings.""","207","133","20"
"The three-day event was hosted by Asia's richest man.","715","457","51"
"The 33-year-old was abducted, raped and murdered by a serving police officer as she walked home in London in 2021.","284","83","31"
"It has become the first country in the world to put the right to abortion in its constitution.","2015","794","219"
"He pleaded guilty to posting dozens of classified documents online in one of the highest-profile intelligence leaks in recent years.","249","83","16"
"""He covered the NFL with extraordinary skill and passion, and was at the top of his field for decades.""","218","36","28"
"Layla, three, has ""fluffy"" hair that grows ""outwardly"" due to a condition that affects only 100 people.","1353","270","62"
"The US state barred the former president from the ballot in December.","979","794","82"
"Other artists, including Adele and Rihanna, have also asked Trump and his team to stop using their music.","1582","481","82"
"""I've seen some of the coolest stuff. Things that will blow your mind.""","393","120","54"
"A weather alert has been issued for several states.","485","84","73"
"It's one of the few areas where the US and Russia continue to co-operate closely despite the war in Ukraine.","311","140","36"
"Vivid colours of the aurora were spotted as far south as Cornwall.","1245","76","108"
"Violent gang wars have killed thousands in the country since 2020.","383","148","57"
"It was later revealed they belonged to the local police.","742","181","92"
"They came to dance, party and try to be normal teenagers for just one night.","356","124","36"
"""It kind of brings you back to earth a little bit.’’","325","96","42"
"""Let your fire always be fierce.""","482","200","44"
"Star dunes are found on Earth as well as on Mars. But experts had never before been able to put a date on when they were formed.","291","98","40"
"This is her first victory over Donald Trump in the 2024 campaign to become the Republican presidential candidate.","1394","406","63"
"People hoping to leave the worsening humanitarian crisis in Gaza must dodge scammers and pay huge sums.","209","200","10"
"Scientists have been investigating the existence of a ""speed gene"" for more than two decades. (Via BBC Future)","228","44","39"
"Gloria Gaynor's anthem 'I Will Survive' originally had a different meaning.","367","79","54"
"John Okafor was loved for his comic roles in a career spanning more than two decades.","995","135","68"
"The cost of regulated rail fares in England will rise by up to 4.9% from Sunday.","402","226","55"
"King Harald, 87, is the oldest reigning monarch in Europe.","779","179","66"
"""It cannot continue this way.""","320","229","32"
"Polls show around 85% of the French public support the reform.","1447","316","112"
"A scene discussing Ireland's ""2024 unification"" stopped the episode from being shown in the UK.","438","310","109"
"""It was definitely a mixed bag of reactions.""","351","112","34"
"""Luckily they got it all on camera so I can watch it back.""","314","220","37"
"The Royal Family have been faced with rumour and speculation following health challenges.","335","380","53"
"""The artist I was three years ago would not believe I'm in control - I'm my own boss.""","1011","465","58"
"Here's how to get better at getting around. (Via BBC Future)","332","178","65"
"Kaylin Gillis and her friends mistakenly drove up a driveway while trying to find a party.","1157","559","89"
"""Taylor Swift as a business, is a very emotional business.""","234","81","35"
"Police said the search for the two-year-old has been ""challenging"".","924","183","37"
"Champagne, rum and gin was taken in a burglary.","384","78","40"
"""The closest things we get to dunes in the UK.""","401","114","22"
"The landmark was cut down last year in what UK police described as a ""deliberate act of vandalism"".","662","285","56"
"Plastic pollution is a big problem around the world - but how do we solve it? 
(Via BBC Ideas)","250","260","39"
"Emergency services asked drivers to avoid the stretch of road.","762","341","109"
"It was billed as ""the place where chocolate dreams become reality"".","433","185","48"
"""Before I knew it, I became a fan who cheered on the games every week.""","315","52","28"
"Thousands of meals have been parachuted into Gaza by three military planes.","1226","1113","118"
"The historic venue showed its first movie in 1909.","610","179","88"
"Speculation has been growing about the Princess of Wales since she went into hospital for abdominal surgery in January.","311","288","56"
"Footage showed rescue workers descending to pull a woman out of the cab.","1276","222","153"
"Demonstrators from the animal rights group joined models on the catwalk in Paris.","504","293","44"
"""This caught us off guard.""","776","147","90"
"""This little piece of history is likely to hold great sentimental value.""","367","46","58"
"Sibu had been a resident at Dublin Zoo for 40 years.","1303","164","87"
"The noises coming from the site after midnight were ""too much"" for locals.","494","178","59"
"It's 35m (115ft) deep.","468","252","39"
"The 45-year-old was declared bankrupt in November 2019.","551","436","48"
"""She held it together like a champ.""","675","73","73"
"The customers will be banned from future flights, the airline said.","323","61","84"
"The song was played after the Russian opposition leader's coffin was lowered into the ground.","522","199","67"
"""Every rock you see on that map I went to that place and collected it.""","2238","252","133"
"This is the fourth rise in two years.","956","960","127"
"The lawsuit accuses the firm of abandoning its founding principle of ""benefiting humanity"".","450","145","44"
"""As costs rise, singles are becoming more ruthless.""","341","171","36"
"During the visit, he was asked about the condition of his wife, Kate.","303","101","20"
"Every year on 1 March, Wales celebrates its patron saint.","511","188","90"
"Prince Michael of Kent's son-in-law died suddenly last month, aged 45.","540","186","55"
"""Barbie has become an international icon.""","367","89","29"
"New research suggests this tiny frog could be a record breaker.","322","82","36"
"Trooper has been described as a ""gentle giant"".","1249","160","91"
"Those in attendance risk arrest for showing support for the Putin critic.","978","360","121"
"One of the world's most successful artists is set to perform at the event.","403","281","35"
"""That was so beautiful.""","730","221","41"
"""I've never had a song with this much anticipation.""","657","447","35"
"""This was truly exceptional.""","479","76","51"
"In December 2019, 47 people were touring the volcano when it erupted, killing nearly half of the group.","250","47","44"
"It has been named Pleurobranchaea Britannica.","467","99","79"
"The former Labour and Respect Party MP focused on Gaza during his campaign, gaining nearly 6,000 more votes than any other candidate.","603","989","67"
"E-passport gates at airports were staffed by ""distracted"" officers who lacked basic equipment, David Neal found.","222","168","26"
"One of the highest profile espionage cases between the two countries was brought to an unexpectedly rapid conclusion.","259","54","38"
"""Two people (plus one dog), we'll grow together.""","302","72","28"
"The talk show host recently revealed she used weight-loss drugs as a ""maintenance tool"".","261","133","30"
"The bangs were recorded in a massive rescue operation for the missing submersible and its five passengers last June.","324","132","44"
"The Dance You Outta My Head singer was diagnosed with sarcoma in 2022.","589","99","47"
"""You start to understand the reasoning behind incel violence.""","157","88","21"
"Lauren Boebert said her son should be held accountable for ""poor decisions"" just like anyone else.","481","192","32"
"A disaster declaration has been issued for 60 counties by the state's governor.","399","117","76"
"Dozens of people were trapped in the multi-storey building after the blaze began in a restaurant, according to reports.","974","85","63"
"The 82-year-old was taken to hospital after feeling unwell.","308","72","24"
"After Prince William suddenly withdrew from an event, speculation about the Princess of Wales has risen.","517","349","77"
"""Hi baby girl, let's get you out of the water.""","1591","117","67"
"""Rest in peace, my love.""","6415","399","146"
"Myles Sanderson killed 11 people on a stabbing spree in 2022.","162","70","20"
"Organisers later said the event was a ""bad idea"" and that it was meant to bring together expatriates.","206","165","31"
"Kyle Ratcliffe, 36, admitted two offences of exposure and one count of taking an indecent photo of a child.","256","0","24"
"There is about a one in 1,461 chance of being born on 29 February.","928","258","89"
"He was provisionally suspended in September after a drugs test found elevated levels of testosterone in the player's system.","654","354","59"
"Anyone convicted of identifying as LGBTQ+ could face a prison sentence of up to three years.","939","907","81"
"""I will miss him every day and the bond and friendship we shared over half a lifetime.""","6419","695","754"
"The number equates to about 1.3% of the 2.3 million population of the territory.","502","964","60"
"About one third of chickens sold in some UK supermarkets have ""hock burn"", a BBC investigation found.","382","237","65"
"""I was so mad at the time, I had to try something.""","226","269","25"
"Two other US states have removed him from their primary ballots for violating a 14th Amendment ""insurrection"" clause.","1033","747","52"
"""The amount we found is mind-blowing.”","1089","96","122"
"The spoon was seized as evidence by police.","260","88","41"
"Yulia Navalnaya was speaking to members of the European Parliament.","609","244","68"
"The firm has never publicly acknowledged the project, which involves around two thousand people.","338","88","45"
"Golf ball-size hail have been reported in about a dozen states in the Midwest.","394","74","59"
"The Dune: Part Two actress said that she once worked with an ""absolute idiot of a co-star"".","205","76","16"
"""I can't believe the UK won't let me in.""","854","666","59"
"Officers need to demonstrate to the public they will use their powers, Rishi Sunak said.","374","474","48"
"The 27-year-old's death in 2005 had been one of Scotland's best known unsolved murders.","140","14","12"
"Odysseus made history by becoming the first ever privately built vehicle to complete a soft landing on the Moon.","541","301","40"
"Known for his self-deprecating humour, Lewis rose to prominence in the 1980s.","815","75","85"
"""Britain's wonkiest inn"" was destroyed last year.","403","5","24"
"The former White House intern found herself at the centre of a media storm after an affair with President Bill Clinton in the 90s.","351","178","23"
"""I've never seen 20-something year-olds collectively that happy in my life.""","567","117","45"
"It was ""time to move on,"" said the Senate's longest-serving Republican leader.","866","350","69"
"Gary Sinise said he was ""fortunate and proud"" to be Mac's father.","3677","259","113"
"Allegations of inappropriate and controlling behaviour had been made against the Formula 1 team boss.","1187","573","62"
"The 27-year-old's death in 2005 had been one of Scotland's most high-profile unsolved murders.","294","61","18"
"Some women showed ""significant improvements"" in anxiety and depression following mindfulness therapies, researchers said.","290","198","43"
"Easterly winds blowing over cool waters helped create the unusual visual effect.","350","47","31"
"PlayStation's boss Jim Ryan said it was ""sad news"" and that it was ""a difficult day at our company"".","577","173","74"
"The high-profile critic of Russian President Vladimir Putin died suddenly in an Arctic prison earlier this month.","638","370","43"
"""Sadly I have to take a beat and pause my Vegas residency.""","459","306","26"
"The oil posed a ""serious threat to both humans and nature"", officials said.","337","38","33"
"Combining running with functional exercises, Hyrox can be completed solo, in pairs or as a quartet.","253","116","40"
"Hollywood actors Ryan Reynolds and Rob McElhenney have also given £10,000 to the fund.","971","159","31"
"Nearly 500 of the animals were killed in 2023, an increase from the previous year.","505","134","43"
"Democrats were urged by activists to vote ""uncommitted"" rather than cast a ballot for the US president in the state's primary.","328","284","44"
"The firm paused its AI image generation tool recently, saying it was ""missing the mark"".","161","58","25"
"""It is nonsense to have to serve in the military at this time, because we are not fighting foreign invaders. We are fighting each other.""","203","17","24"
"""We are the first generation who get to choose.""","292","102","52"
"Some industry estimates have said up to 80% of all music on TikTok could be muted.","370","145","33"
"The hip-hop pioneer was 37 when he was shot in the head in 2002.","394","79","62"
"""We are suffering epidemic levels of slug infestation.""","342","127","49"
"""Tom was an exceptional man who lit up the lives of all who knew him.""","401","193","62"
"It was ""incredible to witness"", lifeboat volunteers in London said.","1003","111","77"
"The US president said the warring sides are close to a truce, but warns that ""we're not done yet"".","361","449","49"
"The confrontation happened after the pair disembarked from a yacht.","372","303","34"
"People in Gaza, many of whom have fled their homes, have shared how their daily lives have changed during the war.","454","625","62"
"King Charles, who is being treated for cancer, will also be unable to attend the service.","297","203","43"
"An initial complaint about the news presenter was not dealt with quickly enough, the BBC has said.","244","43","37"
"The fish taps out 140 decibels, which is as loud as a gunshot.","395","54","79"
"""A beautiful, mindful experience - definitely worth setting the alarm clock for.""","419","46","57"
"If it succeeds, India will become only the fourth country to send a human into space.","1229","1389","126"
"Video showed the British Airways passenger aircraft wobbling.","446","167","67"
"It follows recent disappointing box office performances.","450","246","44"
"The uncorrected proof copy of Harry Potter and the Philosopher's Stone was bought for 13p almost 30 years ago.","390","75","46"
"More than 30,000 treasured possessions and ordinary domestic items can still be seen ""virtually untouched"".","433","59","54"
"Demonstrating farmers have driven their tractors into the heart of the city and filled streets with manure.","327","177","36"
"A third of Brits have an air-fryer.

(via BBC Morning Live)","275","241","69"
"A former professor at the college had just announced a $1bn donation.","1646","154","169"
"It began moving down a sloping track after the driver and his assistant got off for a crew change, officials said.","229","76","19"
"""The greatest unopened find of the 21st Century"".","325","53","40"
"Tuition at the school is nearly $59,000 each year, leaving students with substantial debt.","1270","214","139"
"The film won five Oscars in 1965.","1023","808","148"
"""It's what people dream of.""","364","67","19"
"""It was practically an abandoned.""","258","82","35"
"""Always gave it his all.""","323","83","35"
"""I think it's fantastic, something memorable for us all to keep.""","1208","538","112"
"The Russian opposition leader was going to be exchanged for a Russian hitman, Maria Pevchikh said.","412","271","38"
"""Last night, a command was sent to SLIM and a response received.""","656","264","61"
